sala_id,fecha,n_pacientes,p50_real,p90_real,p50_estimado_ingenuo,p50_estimado_corregido,p90_estimado_corregido,error_p50_min,error_p90_min
LOR-CE-01,2026-08-24,148,158.5,214.7,184.9,135.5,168.2,-22.9,-46.5
LOR-CE-01,2026-08-25,145,171.2,232.7,237.3,167.1,222.8,-4.1,-9.9
LOR-CE-01,2026-08-26,142,194.0,235.8,224.3,157.3,195.2,-36.6,-40.6
LOR-CE-01,2026-08-27,147,149.2,197.9,205.0,137.1,193.7,-12.2,-4.1
LOR-CE-01,2026-08-28,146,166.3,189.6,211.4,175.6,193.2,9.3,3.7
LOR-CE-01,2026-08-29,138,177.9,223.8,218.7,163.9,213.2,-14.0,-10.6
LOR-CE-01,2026-08-31,147,160.2,211.7,205.9,137.1,169.1,-23.1,-42.6
LOR-CE-01,2026-09-01,132,146.1,189.1,181.9,130.4,166.4,-15.7,-22.7
LOR-CE-01,2026-09-02,128,133.9,178.2,189.5,127.6,168.8,-6.3,-9.4
LOR-CE-01,2026-09-03,130,142.2,188.0,200.2,138.3,185.1,-3.9,-2.9
LOR-CE-01,2026-09-04,132,138.0,194.8,199.7,129.3,181.5,-8.7,-13.3
LOR-CE-01,2026-09-05,149,170.7,240.5,240.2,164.6,226.8,-6.1,-13.7
LOR-CE-01,2026-09-07,148,178.4,222.3,229.6,160.8,196.4,-17.6,-25.9
LOR-CE-01,2026-09-08,135,157.5,210.9,224.8,153.8,211.5,-3.6,0.5
LOR-CE-01,2026-09-09,134,130.2,189.8,173.3,119.9,168.0,-10.3,-21.9
LOR-CE-01,2026-09-10,141,160.7,219.2,231.3,156.8,203.7,-3.9,-15.5
LOR-CE-01,2026-09-11,138,151.0,193.1,194.5,133.7,172.1,-17.2,-21.0
LOR-CE-01,2026-09-12,148,144.2,212.1,224.7,145.3,196.4,1.2,-15.7
LOR-CE-01,2026-09-14,139,154.5,198.9,214.1,142.7,187.9,-11.8,-11.0
LOR-CE-01,2026-09-15,128,150.9,207.0,197.1,141.6,194.8,-9.3,-12.2
LOR-CE-01,2026-09-16,152,148.4,217.6,218.4,143.0,200.5,-5.4,-17.1
LOR-CE-01,2026-09-17,137,182.4,239.0,232.1,172.3,221.8,-10.1,-17.3
LOR-CE-01,2026-09-18,151,146.4,213.4,209.4,138.9,195.7,-7.5,-17.7
LOR-CE-01,2026-09-19,146,185.0,248.2,247.9,168.6,228.1,-16.4,-20.1
REG-CE-01,2026-08-24,175,56.7,79.8,100.2,51.7,71.2,-5.0,-8.6
REG-CE-01,2026-08-25,162,49.7,66.3,85.3,48.4,68.2,-1.3,1.9
REG-CE-01,2026-08-26,150,51.0,74.4,83.0,48.5,70.4,-2.5,-4.0
REG-CE-01,2026-08-27,178,52.1,78.2,102.2,68.3,88.2,16.1,10.0
REG-CE-01,2026-08-28,153,49.7,60.3,79.7,45.3,59.5,-4.4,-0.8
REG-CE-01,2026-08-29,174,51.8,75.8,98.5,51.1,76.4,-0.7,0.6
REG-CE-01,2026-08-31,155,52.1,69.8,91.0,53.9,72.9,1.7,3.1
REG-CE-01,2026-09-01,157,56.6,76.4,89.4,60.5,68.5,3.9,-7.9
REG-CE-01,2026-09-02,168,62.2,81.4,105.4,65.4,87.6,3.2,6.3
REG-CE-01,2026-09-03,168,51.0,71.0,93.7,46.6,69.3,-4.4,-1.7
REG-CE-01,2026-09-04,164,59.3,91.3,87.8,53.5,76.0,-5.8,-15.2
REG-CE-01,2026-09-05,165,51.2,76.0,93.1,52.8,72.8,1.6,-3.2
REG-CE-01,2026-09-07,171,53.6,78.6,97.3,55.1,77.7,1.5,-0.9
REG-CE-01,2026-09-08,177,55.6,78.5,88.8,55.8,71.3,0.2,-7.2
REG-CE-01,2026-09-09,180,54.8,79.8,99.1,56.4,74.5,1.6,-5.2
REG-CE-01,2026-09-10,152,57.2,81.7,93.5,53.6,78.4,-3.5,-3.3
REG-CE-01,2026-09-11,166,50.3,70.8,89.0,55.5,67.4,5.2,-3.5
REG-CE-01,2026-09-12,175,51.5,72.2,89.4,43.1,63.2,-8.4,-9.0
REG-CE-01,2026-09-14,153,49.6,63.2,76.1,50.0,54.9,0.4,-8.3
REG-CE-01,2026-09-15,154,48.8,74.1,83.9,44.3,64.4,-4.4,-9.7
REG-CE-01,2026-09-16,168,61.5,87.3,100.5,67.0,84.3,5.6,-3.0
REG-CE-01,2026-09-17,152,56.0,67.5,89.1,56.0,66.0,-0.0,-1.5
REG-CE-01,2026-09-18,170,69.6,106.2,105.3,64.5,97.0,-5.1,-9.2
REG-CE-01,2026-09-19,172,59.4,88.3,106.7,55.5,86.5,-3.9,-1.8
